event_id,equipment_id,event_type,event_category,start_time,end_time,duration_minutes,description,severity,reported_by
DT-001,EQ-001,Незапланированный,Механическая поломка,2026-02-10 08:45:00,2026-02-10 10:30:00,105,Перегрев двигателя — замена термостата,Высокая,Петров И.С.
DT-002,EQ-003,Плановое ТО,Техническое обслуживание,2026-02-01 06:00:00,2026-02-15 18:00:00,21600,Плановое ТО-3 — замена гидронасоса и фильтров,Плановое,Служба ТОиР
DT-003,EQ-007,Незапланированный,Электрическая неисправность,2026-02-08 11:20:00,2026-02-10 16:00:00,3160,Выход из строя блока управления трансмиссией,Критическая,Волков С.И.
DT-004,EQ-004,Незапланированный,Шина/Ходовая,2026-02-10 14:20:00,2026-02-10 16:45:00,145,Прокол шины — замена на резервную,Средняя,Козлов Д.М.
DT-005,EQ-006,Незапланированный,Гидравлика,2026-02-11 09:15:00,2026-02-11 11:00:00,105,Утечка гидравлической жидкости — замена шланга,Средняя,Новиков А.Г.
DT-006,EQ-001,Незапланированный,Механическая поломка,2026-02-11 16:30:00,2026-02-12 02:00:00,570,Поломка ковша — трещина в сварном шве,Высокая,Козлов Д.М.
DT-007,EQ-011,Плановое ТО,Техническое обслуживание,2026-01-20 00:00:00,2026-01-21 18:00:00,2520,Плановая проверка канатов и тормозной системы,Плановое,Служба ТОиР
DT-008,EQ-005,Незапланированный,Датчики/Электроника,2026-02-10 10:00:00,2026-02-10 11:30:00,90,Сбой навигационного модуля — перезагрузка системы,Низкая,Иванов П.А.
DT-009,EQ-002,Незапланированный,Топливная система,2026-02-12 07:30:00,2026-02-12 09:00:00,90,Засорение топливного фильтра — замена,Средняя,Сидоров А.В.
DT-010,EQ-012,Незапланированный,Механическая поломка,2026-02-09 22:00:00,2026-02-10 08:00:00,600,Износ направляющих скипа — ремонт,Высокая,Служба ТОиР
